total_nacional_region,comuna_78,especie_9,total_numero_de_upa1011,total_superficie_cultivo_ha
Región del Maule,Hualañé,Pelu,0,0
Región del Maule,Hualañé,Peumo,0,0
Región del Maule,Hualañé,Picha-Picha,0,0
Región del Maule,Hualañé,Pimiento,0,0
Región del Maule,Hualañé,Pitra,0,0
Región del Maule,Hualañé,Polizón,0,0
Región del Maule,Hualañé,Queñoa,0,0
Región del Maule,Hualañé,Queñoa de Altura,0,0
Región del Maule,Hualañé,Queule,0,0
Región del Maule,Hualañé,Quillay,9,2926.3579880695
Región del Maule,Hualañé,Radal,0,0
Región del Maule,Hualañé,Rarán,0,0
Región del Maule,Hualañé,Raulí,0,0
Región del Maule,Hualañé,Roble,1,82.6084214877
Región del Maule,Hualañé,Roble Blanco,0,0
Región del Maule,Hualañé,Ruil,0,0
Región del Maule,Hualañé,Sándalo,0,0
Región del Maule,Hualañé,Sauce Amargo,1,4.52
Región del Maule,Hualañé,Sauco,0,0
Región del Maule,Hualañé,Tamarugo,0,0
Región del Maule,Hualañé,Tara,0,0
Región del Maule,Hualañé,Tayu,0,0
Región del Maule,Hualañé,Tepa,0,0
Región del Maule,Hualañé,Tiaca,0,0
Región del Maule,Hualañé,Tineo,0,0
Región del Maule,Hualañé,Trevo,11,659.8
Región del Maule,Hualañé,Ulmo,0,0
Región del Maule,Licantén,Total,32,2248.163190975294
Región del Maule,Licantén,Sin clasificar,0,0
Región del Maule,Licantén,Alerce,0,0
Región del Maule,Licantén,Algarrobo,0,0
Región del Maule,Licantén,Algarrobo del Norte,0,0
Región del Maule,Licantén,Araucaria,0,0
Región del Maule,Licantén,Arrayán,0,0
Región del Maule,Licantén,Avellanillo,0,0
Región del Maule,Licantén,Avellano,0,0
Región del Maule,Licantén,Belloto del Norte,0,0
Región del Maule,Licantén,Belloto del Sur,0,0
Región del Maule,Licantén,Boldo,10,114.940360398
Región del Maule,Licantén,Canelo,0,0
Región del Maule,Licantén,Carbonillo o Carbón,0,0
Región del Maule,Licantén,Chañar,0,0
Región del Maule,Licantén,Ciprés de La Cordillera,0,0
Región del Maule,Licantén,Ciprés de Las Guaitecas,0,0
Región del Maule,Licantén,Coigüe,0,0
Región del Maule,Licantén,Coigüe de Chiloé,0,0
Región del Maule,Licantén,Coigüe de Magallanes,0,0
