total_nacional_region,comuna_4_5,especie_6,total_numero_de_upa78,total_superficie_cultivo_ha
Región de Tarapacá,Pozo Almonte,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Tarapacá,Pozo Almonte,Pino Radiata o Insigne (Pinus Radiata),1,0.02
Región de Tarapacá,Pozo Almonte,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Tarapacá,Pozo Almonte,Coigüe,0,0
Región de Tarapacá,Pozo Almonte,Quillay,0,0
Región de Tarapacá,Pozo Almonte,Raulí,0,0
Región de Tarapacá,Pozo Almonte,Tamarugo,10,3.145
Región de Tarapacá,Pozo Almonte,Otras Especies Exóticas,3,0.07
Región de Tarapacá,Pozo Almonte,Otras Coníferas,0,0
Región de Tarapacá,Pozo Almonte,Otras Especies Nativas,9,1.855
Región de Tarapacá,Pozo Almonte,Especie Nativa y Especie Exótica,0,0
Región de Tarapacá,Camiña,Total,0,0
Región de Tarapacá,Camiña,Sin clasificar,0,0
Región de Tarapacá,Camiña,Acacia,0,0
Región de Tarapacá,Camiña,Álamo,0,0
Región de Tarapacá,Camiña,Aromo,0,0
Región de Tarapacá,Camiña,Atriplex sp,0,0
Región de Tarapacá,Camiña,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Tarapacá,Camiña,Eucalyptus Nitens,0,0
Región de Tarapacá,Camiña,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Tarapacá,Camiña,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Tarapacá,Camiña,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Tarapacá,Camiña,Coigüe,0,0
Región de Tarapacá,Camiña,Quillay,0,0
Región de Tarapacá,Camiña,Raulí,0,0
Región de Tarapacá,Camiña,Tamarugo,0,0
Región de Tarapacá,Camiña,Otras Especies Exóticas,0,0
Región de Tarapacá,Camiña,Otras Coníferas,0,0
Región de Tarapacá,Camiña,Otras Especies Nativas,0,0
Región de Tarapacá,Camiña,Especie Nativa y Especie Exótica,0,0
Región de Tarapacá,Colchane,Total,0,0
Región de Tarapacá,Colchane,Sin clasificar,0,0
Región de Tarapacá,Colchane,Acacia,0,0
Región de Tarapacá,Colchane,Álamo,0,0
Región de Tarapacá,Colchane,Aromo,0,0
