total_nacional_region__,comuna_56__,total__numero_de_upa7,total__superficie_ha,tamano_de_la_upa__menores_de_1_ha__numero_de_upa,tamano_de_la_upa__menores_de_1_ha__superficie_ha,tamano_de_la_upa__de_1_a_menos_de_5_ha__numero_de_upa,tamano_de_la_upa__de_1_a_menos_de_5_ha__superficie_ha,tamano_de_la_upa__de_5_a_menos_de_1ha__numero_de_upa,tamano_de_la_upa__de_5_a_menos_de_1ha__superficie_ha,tamano_de_la_upa__de_1a_menos_de_2ha__numero_de_upa,tamano_de_la_upa__de_1a_menos_de_2ha__superficie_ha,tamano_de_la_upa__de_2a_menos_de_5ha__numero_de_upa,tamano_de_la_upa__de_2a_menos_de_5ha__superficie_ha,tamano_de_la_upa__de_5a_menos_de_10ha__numero_de_upa,tamano_de_la_upa__de_5a_menos_de_10ha__superficie_ha,tamano_de_la_upa__de_10a_menos_de_20ha__numero_de_upa,tamano_de_la_upa__de_10a_menos_de_20ha__superficie_ha,tamano_de_la_upa__de_20a_menos_de_50ha__numero_de_upa,tamano_de_la_upa__de_20a_menos_de_50ha__superficie_ha,tamano_de_la_upa__de_50a_menos_de_1.00ha__numero_de_upa,tamano_de_la_upa__de_50a_menos_de_1.00ha__superficie_ha,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__numero_de_upa,tamano_de_la_upa__de_1.00a_menos_de_2.00ha__superficie_ha,tamano_de_la_upa__de_2.00ha_y_mas__numero_de_upa,tamano_de_la_upa__de_2.00ha_y_mas__superficie_ha
Región del Biobío,Tirúa,405,26943.925996732,14,7.059,85,229.45,106,754.4782,128,1651.7188,50,1548.97,14,886.0699999999999,4,530.5,1,263.3700000019,1,506.2,1,1338.6500001875,1,19227.4599965426
Región del Biobío,Los Ángeles,2260,111994.4487858668,161,90.4206000012,772,2122.4192000011,393,2763.7094,372,5089.9694000042,279,8504.0030000009,114,8138.203,98,13411.8541538689,51,15320.5880001909,13,8513.245000012299,4,5741.9800000003,3,42298.057031787
Región del Biobío,Antuco,112,68762.5900081307,9,3.04,36,96.69,15,94.6,13,169.43,9,277.5,11,758.4725,6,922.55,5,1608.75,3,2503.2200086079,1,1362.8275,4,60965.50999952279
Región del Biobío,Cabrero,307,42034.981145592,23,13.5,100,269.13,42,286.34,41,555.604,48,1574.495,33,2346.1335,9,1244.68,8,2646.0770312726,1,841.20046875,0,0,2,32257.8211455694
Región del Biobío,Laja,354,21681.9550015049,47,25.066,156,451.666,67,472.005,25,380.58,26,766.37,17,1271.119,6,956.72,5,1884.91,4,2455.709,0,0,1,13017.8100015049
Región del Biobío,Mulchén,687,141527.404370589,32,17.106,189,529.681,99,675.49,142,2004.68,105,3143.8299999913,31,2073.23,34,4722.4699999526,29,9009.4100000206,15,10751.6733680136,6,8035.96,5,100563.8740026109
Región del Biobío,Nacimiento,564,58577.4674929376,19,9.47,148,414.643,117,815.4615,114,1594.111,94,2830.8729,43,2838.2174996106,20,2918.1300000046,5,1305.4475,2,1134.1,1,1114,1,43603.0140933224
Región del Biobío,Negrete,381,10962.0164116628,33,15.1517,104,255.5457,72,496.949,72,974.055,64,2041.519999999,14,986.4749999959,15,1894.2625,5,1829.5175,1,719.9700000215,1,1748.5700116464,0,0
Región del Biobío,Quilaco,314,69356.351738643,15,7.48,70,188.1291335494,55,390.962,53,736.455,68,2149.7119999989,33,2149.0208022689,11,1486.8865141715,2,569.0000000081,3,1553.89275,1,1270.4604781277,3,58854.3530605185
Región del Biobío,Quilleco,548,76239.5191445593,18,10.221,135,398.0789156433,103,760.3421,107,1468.8575,104,3192.1425,32,2107.69,19,2883.9072047199,15,4797.4675,8,5659.1800000051,1,1000,6,53961.632424191
