total_nacional_region,comuna_6_7,tipo_de_cultivo,especie,numero_de_upa_8910,superficie_total_cultivo_ha,riego__superficie_ha,secano_superficie_ha,sin_clasificar_11_superficie_ha
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Otras Leguminosas,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Mandioca (Yuca),0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Oca,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Papa,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Papa Nativa,2,1.1,1.1,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Topinambur,0,0,0,0,0
Región de Arica y Parinacota,Arica,Leguminosas y Tubérculos,Otras Raíces y Tubérculos,0,0,0,0,0
Región de Arica y Parinacota,Arica,Vides para vinificación y uvas pisqueras,Total,0,0,0,0,0
Región de Arica y Parinacota,Arica,Vides para vinificación y uvas pisqueras,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Arica,Vides para vinificación y uvas pisqueras,Tintas,0,0,0,0,0
Región de Arica y Parinacota,Arica,Vides para vinificación y uvas pisqueras,Blancas,0,0,0,0,0
Región de Arica y Parinacota,Arica,Vides para vinificación y uvas pisqueras,Pisqueras,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Cereales,Total,7,5.25,5.25,0,0
Región de Arica y Parinacota,Camarones,Cereales,Sin Clasificar,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Cereales,Amaranto,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Cereales,Arroz,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Cereales,Avena (Grano Seco),0,0,0,0,0
Región de Arica y Parinacota,Camarones,Cereales,Cebada Cervecera,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Cereales,Centeno,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Cereales,Chía,0,0,0,0,0
