total_nacional_region____,comuna6_7____,especie____,total__numero_de_upa89__,total__superficie_ha__,total__superficie_ha__en_riego,total__superficie_ha__en_secano,total__superficie_ha__sin_clasificar_10,total__estado_desarrollo_ha__en_formacion_11,total__estado_desarrollo_ha__en_produccion_12,total__estado_desarrollo_ha__sin_clasificar_10
Región de Arica y Parinacota,Arica,Pera,1,0.25,0.25,0,0,0,0.25,0
Región de Arica y Parinacota,Arica,Pistacho,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Pomelo,3,1.1,1.1,0,0,0,1.1,0
Región de Arica y Parinacota,Arica,Rosa Mosqueta (Cultivada),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Arica,Tuna,2,0.6,0.6,0,0,0,0.6,0
Región de Arica y Parinacota,Arica,Uva de Mesa,1,0.1,0.1,0,0,0,0.1,0
Región de Arica y Parinacota,Arica,Otros Frutales,77,48.825,48.825,0,0,8.26,40.565,0
Región de Arica y Parinacota,Arica,Quinta Frutal,24,11.45,11.45,0,0,2.2,9.25,0
Región de Arica y Parinacota,Camarones,Total,45,43.337,43.337,0,0,4.893,38.444,0
Región de Arica y Parinacota,Camarones,Sin Clasificar,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Almendro,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Berries,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Avellano Europeo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Castaño,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Cerezo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Chirimoyo,2,0.031,0.031,0,0,0,0.031,0
Región de Arica y Parinacota,Camarones,Ciruelo Europeo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Ciruelo Japonés,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Clementina,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Damasco,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Duraznero (Consumo Fresco),2,0.519,0.519,0,0,0,0.519,0
Región de Arica y Parinacota,Camarones,Duraznero (Tipo Conservero),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Granado,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Higuera,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Kiwi,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Lima (o Limón Sutil),2,0.15,0.15,0,0,0,0.15,0
Región de Arica y Parinacota,Camarones,Limón de Pica,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Limonero,9,2.281,2.281,0,0,0,2.281,0
Región de Arica y Parinacota,Camarones,Mandarina,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Mango,7,2.687,2.687,0,0,0,2.687,0
Región de Arica y Parinacota,Camarones,Manzana,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Membrillo,16,3.483,3.483,0,0,0.16,3.323,0
Región de Arica y Parinacota,Camarones,"Moras, Murta y Zarzaparrila",0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Naranjo,15,6.301,6.301,0,0,2.052,4.249,0
Región de Arica y Parinacota,Camarones,Nectarino,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Nogal,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Olivo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Palto,14,3.831,3.831,0,0,0.681,3.15,0
Región de Arica y Parinacota,Camarones,Papayo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Pera,10,3.82,3.82,0,0,0,3.82,0
Región de Arica y Parinacota,Camarones,Pistacho,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Pomelo,1,0.5,0.5,0,0,0,0.5,0
Región de Arica y Parinacota,Camarones,Rosa Mosqueta (Cultivada),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Camarones,Tuna,9,6.42,6.42,0,0,1.5,4.92,0
Región de Arica y Parinacota,Camarones,Uva de Mesa,2,0.75,0.75,0,0,0,0.75,0
Región de Arica y Parinacota,Camarones,Otros Frutales,18,12.064,12.064,0,0,0.5,11.564,0
Región de Arica y Parinacota,Camarones,Quinta Frutal,1,0.5,0.5,0,0,0,0.5,0
Región de Arica y Parinacota,Putre,Total,17,5.29,5.29,0,0,0.32,4.97,0
Región de Arica y Parinacota,Putre,Sin Clasificar,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Almendro,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Berries,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Avellano Europeo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Castaño,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Cerezo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Chirimoyo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Ciruelo Europeo,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Ciruelo Japonés,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Clementina,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Damasco,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Duraznero (Consumo Fresco),1,0.01,0.01,0,0,0,0.01,0
Región de Arica y Parinacota,Putre,Duraznero (Tipo Conservero),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Granado,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Higuera,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Kiwi,0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Lima (o Limón Sutil),0,0,0,0,0,0,0,0
Región de Arica y Parinacota,Putre,Limón de Pica,0,0,0,0,0,0,0,0
