Total Nacional - Región_0,comuna_6_7_8_1,número__de_upa_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25,número_de_upa_26,superficie_(ha)_27,número_de_upa_28,superficie_(ha)_29,número_de_upa_30,superficie_(ha)_31,número_de_upa_32,superficie_(ha)_33,número_de_upa_34,superficie_(ha)_35,número_de_upa_36,superficie_(ha)_37,número_de_upa_38,superficie_(ha)_39
Región del Libertador General Bernardo O'Higgins,san_vicente,8120,257625090000036,2720,272553,130,1385,200,20762,2190,795325,3930,65138880000036,250,178598,50,075,50,36064,190,42297,1520,54578,370,10276,220,3208713,80,2225,260,29899,1480,1427079,220,1516051,890,5840269,5090,679313
Región del Libertador General Bernardo O'Higgins,pichilemu,1410,3903270799979283,560,45591,280,2825222222222,00,00,350,25872,190,2766,00,00,10,04,10,04,30,04,320,14099999999994,980,2278167577774301,250,324411999994309,40,1815,700,315110555555554,400,154236,210,3547029999868482,400,2704494222235388,1020,1200528222225163
Región del Libertador General Bernardo O'Higgins,la_estrella,2140,2644952799998709,360,22377,40,143125,00,00,320,878086363635,440,1844247,220,1756646084171,10,0007500000000000001,00,00,00,00,810,4203285775128,460,212445612579175,510,1841276857565925,70,4439022757845,1760,112067205871746,330,2754097999951736,570,4363257073179585,370,13010671590908,1370,29813031766338
Región del Libertador General Bernardo O'Higgins,litueche,3520,4839676999990844,190,21069,200,1659875,00,00,480,1581763636365,1390,1802719,90,678758956624388,50,1934,00,00,10,001,920,137508,840,896335335164317,470,1663920605883518,270,185670977242155,2770,20461889977562,240,25984225081342,160,5849061071586934,560,4570514607291878,2240,669870019717936
Región del Libertador General Bernardo O'Higgins,marchihue,4290,5347805300041647,280,28521,70,855,00,00,570,124917,730,8112330000000001,300,352504,40,1326,10,10,20,0525,1360,8997864224872,1250,1441559453202918,630,2092465024896718,50,2572,3680,2346302543526304,550,261139771593153,320,300088685539761,520,954749967932201,3560,1025146046478986
Región del Libertador General Bernardo O'Higgins,navidad,1740,1023299319983925,560,131757,320,49885,00,00,530,32085,680,43275,80,129821582533902,20,0029,00,00,50,00352,280,7562,380,209415399063305,300,900766511603552,00,00,800,2071524,630,382664303325505,90,2515,250,742235265672532,1290,110012616141164
Región del Libertador General Bernardo O'Higgins,paredones,4460,2734014200031148,1680,557849,380,487,20,20,300,8747,630,59482,280,6004,30,218,100,1402,30,21,180,5479,3200,1751574500013271,960,1904735000031239,100,5081,1720,3995568999999608,1510,866477,870,1358850000154377,820,542549999992269,2490,295498000001284
Región del Libertador General Bernardo O'Higgins,san_fernando,3710,2339336849999069,640,73497,110,1725,30,170,210,36714,1650,5247961,580,133364,20,0242,120,1159,70,4115,980,98633,270,3800639999988915,530,517651699999155,40,1605,540,2974742,620,236719,270,1330721000000017,550,1234343959999953,2200,857037000007002
Región del Libertador General Bernardo O'Higgins,chépica,5740,2513494599998928,3180,43582037634338,230,3726,150,92132,1850,73909,1280,25517532939034,450,143669,50,044,130,11328,60,2873,610,24894,230,309707,780,676934,90,11624,780,1570335,1270,2153584,80,8798,800,985896,3980,74798194265208
Región del Libertador General Bernardo O'Higgins,chimbarongo,8280,316950727999906,2710,25659393801655,1130,32832,1160,79185,1100,3553004,4100,7941690501064683,420,150586711876042,20,16,480,4647,180,1435754,1770,127614,520,10642,120,934531,380,32693,740,97355,1510,1167861,200,23609,1500,246005,6150,1703879
