Total Nacional - Región_0,comuna_56_1,número_de_upa7_2,superficie_(ha)_3,número_de_upa_4,superficie_(ha)_5,número_de_upa_6,superficie_(ha)_7,número_de_upa_8,superficie_(ha)_9,número_de_upa_10,superficie_(ha)_11,número_de_upa_12,superficie_(ha)_13,número_de_upa_14,superficie_(ha)_15,número_de_upa_16,superficie_(ha)_17,número_de_upa_18,superficie_(ha)_19,número_de_upa_20,superficie_(ha)_21,número_de_upa_22,superficie_(ha)_23,número_de_upa_24,superficie_(ha)_25
Región de La Araucanía,teodoro_schmidt,20340,446047232222694,260,148500000005,5140,16475699999995,5270,37902259353045,5120,70858028895783,3250,99129100000033,740,49147099999964,380,53715393976909,140,3858845,20,13164,00,00,20,6691869999696
Región de La Araucanía,toltén,11620,647963873285556,180,102149999999,2670,7819594999998,2720,19072076000003,2270,3130303000001,2570,79531814999953,690,4504600000000201,320,43656890487882,90,265931,70,515493,10,13360,30,329929916797709
Región de La Araucanía,vilcún,15590,757471255764286,840,45758,5360,14765002999995,3500,24416118000004,2570,33987163,1740,57494400999972,580,40890,360,48993300000062,290,851899,190,1307049,130,1829199,30,137652990764253
Región de La Araucanía,villarrica,14130,550091100754735,340,16323,3830,1125858,3250,22713843904303,3030,41830677559068,2300,711304095,630,44880789999622,310,4112746753699,230,7027115,120,80531582254906,60,81659099999846,30,8452427
Región de La Araucanía,cholchol,9970,193517057704611,130,551,3640,10561991499999,2900,19873410000008,2090,284050275,960,26586048,150,106336,40,55549,30,76979,10,64895,00,00,20,77659580704604
Región de La Araucanía,angol,5770,76770775564368,300,1689,1350,3793550000052,710,5038025000019,1100,16095334999792,1230,387744,610,40566225,230,323176,160,4810972190986,20,1331155,20,22807599999604,40,546724848734353
Región de La Araucanía,collipulli,6220,877602088437487,300,145565,2100,59984,1480,10056754,1000,1417925,770,2363177,290,21277170000669,110,157146,100,32097135872627,50,36245,00,00,20,718256443564191
Región de La Araucanía,curacautín,2810,1425852512950955,50,26,520,14878,410,2983499999999,530,73153,570,15706637664476,230,159445,150,20031455468751,160,54040506866946,70,551865,50,67497199999845,70,1185633112950938
Región de La Araucanía,ercilla,750,240973940261818,20,103,150,431,160,11920875,30,4075,150,5339387499943,70,5075999999841,20,29423,80,23954619073485,40,29745967184776,20,22392899997776,10,149481879005997
Región de La Araucanía,lonquimay,10570,189936529,270,13405,2170,5700,1760,116949,1700,230048,2150,6988041,1160,79524,680,9252492,340,1034851,90,61540,80,116867,170,133501011
Región de La Araucanía,los_sauces,6150,604122389681928,70,23035,740,2317599999944,1120,8064580000008,1590,21949654790276,1390,42483373931231,670,45324428119628,240,32255630926467,210,56855000000083,50,370491,50,67044333160036,20,290755653754255
Región de La Araucanía,lumaco,6680,65252340197656,60,43800000002,1090,3185799999998,1310,8868738482801,1180,1681882500001,1680,51076806250169,830,585349,250,32860900000003,180,55727771722792,60,46753016367015,30,39393159181168,10,339259684972602
