Total Nacional - Región_0,comuna_6_7_1,tipo_de_cultivo_2,especie_3,número_de_upa_8910_4,superficie_total_cultivo_(ha)_5,riego_
superficie_(ha)_6,secano
superficie_(ha)_7,sin_clasificar_11
superficie_(ha)_8
Total Nacional,total_nacional,leguminosas_y_tubérculos,sin_clasificar,4540,535619,00,00,535619
Total Nacional,total_nacional,leguminosas_y_tubérculos,arveja_(grano_seco),15060,23849200999993,15404875,8444325999993,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,chícharo,1700,118912,63,112612,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,garbanzo,1670,307641,2129,286351,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,lenteja,5770,698083,60639,637444,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,poroto_(grano_seco),43120,69328456000014,54358955000014,14969501,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,otras_leguminosas,7050,1690808,546849,1143959,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,mandioca_(yuca),20,725,70,025,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,oca,90,2071,0061,201,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,papa,245060,362058605000179,21062409,151434515000179,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,papa_nativa,6590,6700338,205612,4644218,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,topinambur,250,20777,19177,16,00
Total Nacional,total_nacional,leguminosas_y_tubérculos,otras_raíces_y_tubérculos,1270,529951,34233,187621,00
Total Nacional,total_nacional,vides_para_vinificación_y_uvas_pisqueras,total,60880,100811458,8988572,10719057,206681
Total Nacional,total_nacional,vides_para_vinificación_y_uvas_pisqueras,sin_clasificar,720,208681,00,20,206681
Total Nacional,total_nacional,vides_para_vinificación_y_uvas_pisqueras,tintas,42120,73787352,65587003,8200349,00
Total Nacional,total_nacional,vides_para_vinificación_y_uvas_pisqueras,blancas,19740,21828934,19328176,2500758,00
Total Nacional,total_nacional,vides_para_vinificación_y_uvas_pisqueras,pisqueras,9530,4986491,4970541,1595,00
Región de Arica y Parinacota,total_región,cereales,total,200,4825,4825,00,00
Región de Arica y Parinacota,total_región,cereales,sin_clasificar,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,amaranto,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,arroz,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,avena_(grano_seco),00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,cebada_cervecera,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,centeno,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,chía,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,maíz,200,4825,4825,00,00
Región de Arica y Parinacota,total_región,cereales,mijo,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,quinoa,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,sorgo,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,trigo_blanco,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,trigo_candeal,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,triticale,00,00,00,00,00
Región de Arica y Parinacota,total_región,cereales,otros_cereales,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,total,1810,919865,914615,375,15
Región de Arica y Parinacota,total_región,forrajeras,sin_clasificar,10,15,00,00,15
Región de Arica y Parinacota,total_región,forrajeras,alfalfa,1800,917665,913915,375,00
Región de Arica y Parinacota,total_región,forrajeras,arveja_forrajera,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,arvejilla,00,00,00,00,00
Región de Arica y Parinacota,total_región,forrajeras,avena_(forrajera)_sola,10,05,05,00,00
Región de Arica y Parinacota,total_región,forrajeras,avena_asociada,00,00,00,00,00
