0,1,2,3,4,5,6,7,8
total_nacional,total_nacional,hortalizas,zapallo,2260.0,4986.2794232625,4843.4977,142.7817232625,0.0
total_nacional,total_nacional,hortalizas,zapallo_italiano,1296.0,821.612175345,771.80265,49.809525345,0.0
total_nacional,total_nacional,hortalizas,otras_hortalizas,699.0,343.06966,318.0611,25.00856,0.0
total_nacional,total_nacional,hortalizas,champiñón_de_parís_o_común_(agar,7.0,2.98,0.01,2.97,0.0
total_nacional,total_nacional,hortalizas,portobello_(agaricus_bisporus_va,1.0,0.15,0.0,0.15,0.0
total_nacional,total_nacional,hortalizas,shiitake_(lentinula_edodes),4.0,0.2166,0.0,0.2166,0.0
total_nacional,total_nacional,hortalizas,ostra_(pleurotus_varios),1.0,0.15,0.0,0.15,0.0
total_nacional,total_nacional,hortalizas,trufa_negra_(tuber_melanosporum),51.0,92.1,92.1,0.0,0.0
total_nacional,total_nacional,hortalizas,otros_hongos_y_setas,10.0,9.76,7.7,2.06,0.0
total_nacional,total_nacional,hortalizas,anís,2.0,0.2667,0.25,0.0167,0.0
total_nacional,total_nacional,hortalizas,azafrán,6.0,2.22,1.82,0.4,0.0
total_nacional,total_nacional,hortalizas,cedrón,34.0,3.935,3.8165,0.1185,0.0
total_nacional,total_nacional,hortalizas,comino,1.0,0.002,0.0,0.002,0.0
total_nacional,total_nacional,hortalizas,eneldo,1.0,0.0001,0.0001,0.0,0.0
total_nacional,total_nacional,hortalizas,hipérico_(o_hierba_de_s._juan),2.0,0.0014,0.0,0.0014,0.0
total_nacional,total_nacional,hortalizas,jengibre,1.0,0.0004,0.0,0.0004,0.0
total_nacional,total_nacional,hortalizas,lavanda,45.0,29.77935,29.5612,0.21815,0.0
total_nacional,total_nacional,hortalizas,manzanilla,36.0,318.0611,318.0103,0.0508,0.0
total_nacional,total_nacional,hortalizas,menta,112.0,268.80316,267.84851,0.95465,0.0
total_nacional,total_nacional,hortalizas,romero,72.0,31.2745,31.218,0.0565,0.0
total_nacional,total_nacional,hortalizas,ruda,49.0,5.2768,4.3624,0.9144000000000001,0.0
total_nacional,total_nacional,hortalizas,salvia,19.0,2.8418,2.2562,0.5856,0.0
total_nacional,total_nacional,hortalizas,tomillo,50.0,7.255,7.1884,0.0666,0.0
total_nacional,total_nacional,hortalizas,toronjil_(o_melisa),38.0,4.1865,4.0294,0.1571,0.0
total_nacional,total_nacional,hortalizas,otras_plantas_aromáticas_y_medic,226.0,81.2104,75.2432,5.9672,0.0
total_nacional,total_nacional,semilleros,total,1049.0,19259.9039999697,18612.8209999697,417.153,229.93
total_nacional,total_nacional,semilleros,sin_clasificar,19.0,229.93,0.0,0.0,229.93
total_nacional,total_nacional,semilleros,"semillas_de_cereal,_leguminosas",536.0,9270.3529999883,9236.8029999883,33.55,0.0
total_nacional,total_nacional,semilleros,semillas_de_cultivos_industriale,227.0,4806.299999994601,4762.9099999946,43.39,0.0
total_nacional,total_nacional,semilleros,semillas_de_hortalizas,525.0,3621.6739999978,3297.7599999978,323.914,0.0
total_nacional,total_nacional,semilleros,otras_semillas,96.0,1331.646999989,1315.347999989,16.299,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,total,17.0,6.297000000000001,1.15,5.147,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,sin_clasificar,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,agapanto_(agapanthus_spp.),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,flores_de_corte,alelí_(matthiola_incana),0.0,0.0,0.0,0.0,0.0
