0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
total_nacional_región,"sexo_persona_productora_3,4",total_personas_productoras,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa,número_personas_productoras,superficie_(ha)_de_la_upa
región_del_biobío,productores_hombres,998.0,996.0,14832.46595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,48.38
región_del_biobío,productoras_mujeres,559.0,552.0,5245.956015643275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,37.9
región_del_biobío,sin_especificar,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_la_araucanía,total_región,20660.0,20627.0,241352.3577832944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,515.37
región_de_la_araucanía,productores_hombres,12672.0,12653.0,169723.3325180009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,295.69
región_de_la_araucanía,productoras_mujeres,7978.0,7964.0,71492.86526529354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,219.68
región_de_la_araucanía,sin_especificar,10.0,10.0,136.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_los_ríos,total_región,3405.0,3402.0,62707.2859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.97
región_de_los_ríos,productores_hombres,1816.0,1814.0,43764.2752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,39.0
región_de_los_ríos,productoras_mujeres,1586.0,1585.0,18935.8107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.97
región_de_los_ríos,sin_especificar,3.0,3.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_los_lagos,total_región,4322.0,4279.0,80190.50964999999,2.0,22.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,877.1099999999999
región_de_los_lagos,productores_hombres,2228.0,2200.0,48967.18395,1.0,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,766.68
región_de_los_lagos,productoras_mujeres,2093.0,2078.0,31214.3257,1.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,110.43
región_de_los_lagos,sin_especificar,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_aysén_del_general_carl,total_región,289.0,279.0,49135.7866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1861.56
región_de_aysén_del_general_carl,productores_hombres,190.0,184.0,38282.8595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1397.86
región_de_aysén_del_general_carl,productoras_mujeres,99.0,95.0,10852.9271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,463.7
región_de_aysén_del_general_carl,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_magallanes_y_de_la_ant,total_región,75.0,68.0,5837.2708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12111.54
región_de_magallanes_y_de_la_ant,productores_hombres,34.0,28.0,4191.0744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12111.04
región_de_magallanes_y_de_la_ant,productoras_mujeres,41.0,40.0,1646.1964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
región_de_magallanes_y_de_la_ant,sin_especificar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
