total_nacional_region,comuna_67,tipo_de_cultivo,especie,numero_total_de_upa8910,superficie_total_de_cultivo_ha,aire_libre_superficie_ha,bajo_cubierta_superficie_ha,sin_clasificar_superficie_ha_11
Total Nacional,Total Nacional,Hortalizas,Orégano,165,254.4488,253.2973,1.1515,0
Total Nacional,Total Nacional,Hortalizas,Pak Choi (o Bok Choy),11,6.845,6.345,0.5,0
Total Nacional,Total Nacional,Hortalizas,Pepino dulce,151,298.47005,295.515,2.95505,0
Total Nacional,Total Nacional,Hortalizas,Pepino ensalada,1331,464.595006,195.03983,269.555176,0
Total Nacional,Total Nacional,Hortalizas,Perejil,1139,205.729820102,185.27103,20.458790102,0
Total Nacional,Total Nacional,Hortalizas,Pimiento (incl. todos los tipos),1036,819.8239040000001,464.837257,354.986647,0
Total Nacional,Total Nacional,Hortalizas,Poroto Granado,1631,1809.9227659999,1806.3517499999,3.571016,0
Total Nacional,Total Nacional,Hortalizas,Poroto Verde,2459,1544.4018802625,1512.11023,32.2916502625,0
Total Nacional,Total Nacional,Hortalizas,Puerro,579,146.178130102,144.76778,1.410350102,0
Total Nacional,Total Nacional,Hortalizas,Rábano (o rabanito),247,78.481225,62.8829,15.598325,0
Total Nacional,Total Nacional,Hortalizas,Repollito de Bruselas,18,53.974802,53.8291,0.145702,0
Total Nacional,Total Nacional,Hortalizas,Repollo,1607,1526.625543,1515.608478,11.017065,0
Total Nacional,Total Nacional,Hortalizas,Rúcula,75,48.1901,46.129,2.0611,0
Total Nacional,Total Nacional,Hortalizas,Ruibardo,15,1.2042,1.2042,0,0
Total Nacional,Total Nacional,Hortalizas,Sandía,976,1775.834121,1637.5797,138.254421,0
Total Nacional,Total Nacional,Hortalizas,Tomate,6500,5458.0938551,3761.052908,1697.0409471,0
Total Nacional,Total Nacional,Hortalizas,Tomate cherry (u otros mini),348,103.19705,66.5172,36.67985,0
Total Nacional,Total Nacional,Hortalizas,Zanahoria,1354,2710.4796159999,2700.0802999999,10.399316,0
Total Nacional,Total Nacional,Hortalizas,Zapallo,2260,4986.2794232625,4843.4977,142.7817232625,0
Total Nacional,Total Nacional,Hortalizas,Zapallo Italiano,1296,821.612175345,771.80265,49.809525345,0
Total Nacional,Total Nacional,Hortalizas,Otras Hortalizas,699,343.06966,318.0611,25.00856,0
Total Nacional,Total Nacional,Hortalizas,Champiñón de parís o común (Agaricus bisporus),7,2.98,0.01,2.97,0
Total Nacional,Total Nacional,Hortalizas,Portobello (Agaricus bisporus var. portabella),1,0.15,0,0.15,0
Total Nacional,Total Nacional,Hortalizas,Shiitake (Lentinula edodes),4,0.2166,0,0.2166,0
Total Nacional,Total Nacional,Hortalizas,Ostra (Pleurotus varios),1,0.15,0,0.15,0
Total Nacional,Total Nacional,Hortalizas,Trufa Negra (Tuber melanosporum),51,92.1,92.1,0,0
Total Nacional,Total Nacional,Hortalizas,Otros Hongos y Setas,10,9.76,7.7,2.06,0
Total Nacional,Total Nacional,Hortalizas,Anís,2,0.2667,0.25,0.0167,0
Total Nacional,Total Nacional,Hortalizas,Azafrán,6,2.22,1.82,0.4,0
Total Nacional,Total Nacional,Hortalizas,Cedrón,34,3.935,3.8165,0.1185,0
Total Nacional,Total Nacional,Hortalizas,Comino,1,0.002,0,0.002,0
Total Nacional,Total Nacional,Hortalizas,Eneldo,1,0.0001,0.0001,0,0
Total Nacional,Total Nacional,Hortalizas,Hipérico (o hierba de S. Juan),2,0.0014,0,0.0014,0
Total Nacional,Total Nacional,Hortalizas,Jengibre,1,0.0004,0,0.0004,0
Total Nacional,Total Nacional,Hortalizas,Lavanda,45,29.77935,29.5612,0.21815,0
Total Nacional,Total Nacional,Hortalizas,Manzanilla,36,318.0611,318.0103,0.0508,0
Total Nacional,Total Nacional,Hortalizas,Menta,112,268.80316,267.84851,0.95465,0
