total_nacional_region__,comuna_56__,total_superficie_ha__riego_ha,total_superficie_ha__secano_ha,total_superficie_ha__sin_clasificar_ha,cereales__riego_ha,cereales__secano_ha,cereales__sin_clasificar_ha,leguminosas_y_tuberculos__riego_ha,leguminosas_y_tuberculos__secano_ha,leguminosas_y_tuberculos__sin_clasificar_ha,cultivos_industriales__riego_ha,cultivos_industriales__secano_ha,cultivos_industriales__sin_clasificar_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__riego_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__secano_ha,hortalizas_hongos_aromaticas_medicinales_y_condimentarias__sin_clasificar_ha,frutales__riego_ha,frutales__secano_ha,frutales__sin_clasificar_ha,vides_para_vinificacion_y_uvas_pisqueras__riego_ha,vides_para_vinificacion_y_uvas_pisqueras__secano_ha,vides_para_vinificacion_y_uvas_pisqueras__sin_clasificar_ha,flores_de_corte__riego_ha,flores_de_corte__secano_ha,flores_de_corte__sin_clasificar_ha,semilleros__riego_ha,semilleros__secano_ha,semilleros__sin_clasificar_ha,viveros_y_cesped_alfombra__riego_ha,viveros_y_cesped_alfombra__secano_ha,viveros_y_cesped_alfombra__sin_clasificar_ha,forrajeras__riego_ha,forrajeras__secano_ha,forrajeras__sin_clasificar_ha,praderas_mejoradas__riego_ha,praderas_mejoradas__secano_ha,praderas_mejoradas__sin_clasificar_ha
Región del Maule,Parral,16745.9096852064,3260.515068927,18.15,10100.0412410279,2795.3703202399,15.5,191.5103039512,44.07,1.25,619.5,115,0,446.4,24.3374,1.4,3253.8463,13.3214,0,42.0550744775,16.7073703136,0,1.594,0,0,967.4317,0,0,2.712,0,0,598.9091782372,190.3585783735,0,521.9098875126,61.35,0
Región del Maule,Retiro,14881.5408931306,1638.3379118196,15.2,5580.7741009844,951.0842901931001,12.6,189.5686960487,29.5,0.5,197.5,0,0,1148.4848,243.1986,0.1,4781.745,1.3786,0,766.57,111.27,0,2.7073,0,0,643.0183,0,0,122.4657,0,0,599.4218142721,161.0664216265,1,849.2851818254,140.84,1
Región del Maule,San Javier,10853.9639458949,3709.9996032984,94.77499999999999,2585.1414035072,543.6116129032,24.3,1024.1835087704,8.01,13.25,334.5,0,0,338.6174,2.5209,0.045,1133.1824,154.085,37.33,4526.6240296435,2096.6420903952,3.5,0,0,0,203.42,0,0,0.602,0,0,311.5910344828,192.05,12.85,396.102169491,713.08,3.5
Región del Maule,Villa Alegre,5917.927234708501,244.0028359928,185.7607176716,1791.5173036066,4.3083870968,153.0586079581,304.5423280373,0.2,1.0221097135,214.3,0,1,59.0617,1.5,0.03,1276.3609,35,10.65,1610.4521953177,200.248448896,1.5,1.812,0,0,110.1,0,0,3.4629,0.046,0,309.085129151,1.7,13,237.2327785959,1,5.5
Región del Maule,Yerbas Buenas,8288.8008516549,10.63,13.032,2839.9149609788,2,5.25,526.4009193236,0,0.25,120.2487804869,0,0.12,75.02289999999999,1.53,1.112,2797.0846,1.6,0,514.59686747,0,0,0.05,0,0,101.1537,0,0,23.6883,0.5,0,682.8623218482,5,6.3,607.7775015474,0,0
Región de Ñuble,Total Región,85883.86650000002,66336.44790000009,2087.844,31647.125,47514.64,570.691,3665.741,626.322,256.827,4834.84,2890.034,765.03,4399.2125,326.1375,17.6735,17524.918,944.9289,16.78,512.512,4177.6370000001,25.28,17.205,3.0175,0.2925,2046.77,177.24,2.75,193.61,19.111,0,10758.045,5143.087,276.74,10283.888,4514.293,155.78
Región de Ñuble,Chillán,8175.921435960101,2393.5924749704,18.6247,3081.8505847413,1136.6951152116,11,144.67,55.55,0,276.1947153362,0,0,554.8825,15.197,0.289,1710.0249,122.53,7,177.722,354.43,0.3,3.474,0,0,40.3914,56.967,0.0357,42.955,0.05,0,1015.8912638415,440.8069938224,0,1127.8650720411,211.3663659364,0
Región de Ñuble,Bulnes,12866.7701983604,1804.9719067839,245.6,4416.0078803666,1327.319,3.35,163.2586777175,16.15,141,810.05,37,81,315.1561,1.51,0.25,2427.7987,14.2739,0,36.1,67.1690067839,0,2.566,0,0,270.1,8.2,0,42.68,0,0,2405.838111025,320.35,0,1977.2147292513,13,20
Región de Ñuble,Chillán Viejo,1389.520741789,1884.5431340636,0.35,817.12,376.58,0,2.3,10,0,40,0,0,132.3565,13.9075,0.35,123.45,7.895,0,47,96.63,0,0.03,0,0,6,0,0,2.3,0,0,132.826241789,156.58,0,86.138,1222.9506340636,0
Región de Ñuble,El Carmen,5012.694011420001,16310.0993024929,139.8346,1417.8374605987,12939.1017232789,90.55,621.495,43.055,1.845,193.7152846638,1373.57,24.5,325.1075,126.125,0.2253,1013.0239,315.215,0,0.6000000000000001,20.58,0,1.606,0,0,536.3686,30.033,2.7143,2.005,0,0,692.7602661575,814.224579214,17.5,208.175,648.195,2.5
Región de Ñuble,Pemuco,2346.16075466,7140.0276034635,2.4,1454.79495466,5926.3526034635,1,11.845,28.55,0,80,704.95,0,38.8458,24.1,0.4,169.235,20.985,0,0,0,0,0,0,0,37,0,0,0,0,0,174.04,164.93,1,380.4,270.16,0
Región de Ñuble,Pinto,1490.2884288409,4376.843171159,126.4175,286.4,3783.788,0.5,32.17,6.622,0,101,31.5,0,242.2101,41.775,0.625,543.605,61.711,0,0,0.05,0,1.19,2.7075,0.2925,3,3.04,0,0,0,0,125.647228212,318.069671159,0,155.0661006289,127.58,125
Región de Ñuble,Quillón,841.1052801735,708.9446691791,3.112,21.230443731,40.42,0,4.4,13.11,0,0,0,0,113.3246,4.8044,0.912,651.727,125.5789,0,9.52,443.6303691791,0.2,3.1072,0,0,0,0,0,8.049,0.011,0,0.5,21,2,29.2470364425,60.39,0
Región de Ñuble,San Ignacio,8165.907400000001,4713.9653138506,139.442,2764.76,4052.282558046,53.49,810.725,15.9,6.902,900.91,50,40,407.398,3.348,5.72,1266.8544,10.3,9.78,0,1,0,0.6,0,0,130.96,79,0,0,0,0,1196.51,448.9347558046,23.55,687.1899999999999,53.2,0
Región de Ñuble,Yungay,2942.7126,10037.957,88.02,1106.162,9179.338,79.5,188.372,15.965,2.75,373.9,536.014,0.5,381.9836,3.39,0.97,576.208,71.12,0,0.3,2.06,0,0.324,0,0,0,0,0,2.653,0,0,140.41,147.62,3.8,172.4,82.45,0.5
Región de Ñuble,Quirihue,101.3102,605.7907834788999,1.5502,11.48,306.35,0.3,36.4,28.4,0.7,0,0,0,16.9172,2.4,0.0002,16.15,3.4,0,17.22,144.7407834789,0.55,0.018,0,0,0,0,0,0,0,0,3.125,109,0,0,11.5,0
Región de Ñuble,Cobquecura,221.07,485.55,1.8,15.15,301.02,1,80.27,138.68,0.8,0,0,0,6.28,0.1,0,24.93,7.5,0,0,8.35,0,0,0,0,0,0,0,0.23,0.65,0,39.6,14,0,54.61,15.25,0
Región de Ñuble,Coelemu,349.641155745,619.5335555554999,6.3,17.7259444875,51.7,0,219.7223222825,11.04,4,0.25,0,0,16.801,2.188,0,50.18,7.41,0,0,483.6455555555,2.3,0.21,0.3,0,0,0,0,0.1,0,0,44.651888975,44.25,0,0,19,0
Región de Ñuble,Ninhue,59.7066,1027.7075778114,5,11.35,457.54,1.5,0,82.87,1.5,0,0,0,1.7352,3.95,0,46.5214,8.3532,0,0,417.3443778114,2,0,0,0,0,0,0,0.1,0,0,0,49.65,0,0,8,0
Región de Ñuble,Portezuelo,202.0978400615,917.1705240370001,6,1,117.12,1.5,0,11.9,0,0.74,0,0,2.6718,1.27,0,111.75,43.4999,0,84,703.680624037,4.5,0,0,0,0,0,0,0.01,0,0,0,20.24,0,1.9260400615,19.46,0
Región de Ñuble,Ránquil,137.168,831.74,9.481,0.25,75.73,0.001,4.45,2.25,0,0,0,0,43.226,33.993,0,86.971,27.705,0,1.25,626.662,9.23,0.2,0,0,0,0,0,0.071,0,0,0.75,65.4,0.25,0,0,0
Región de Ñuble,Treguaco,87.37,422.63,17.75,6.4,169.95,13.45,63.15,20.68,0,0,0,0,0.5,2,0,3.4,4.25,0,0,215.95,4.3,0,0,0,0,0,0,0.02,0,0,0.4,3.5,0,13.5,6.3,0
Región de Ñuble,San Carlos,15821.3420412423,3443.8055854191,392.65,6189.0544237323,1610.1285917602,142.1,699.98,36.5,0.01,1279.75,13,237,610.696,17.289,6,1830.953,7.95,0,36,42.3271428573,1.4,2.9658,0,0,651.65,0,0,50.525,18.4,0,2202,899.0108508016,6.14,2267.76781751,799.2,0
Región de Ñuble,Coihueco,12718.5301256596,3845.9396444445,435.71,4465.0607314149,2534.198,94.1,376.207,2.65,33.9,606.93,144,95.03,666.1215,17.93,0.4,4082.5717,39.6972,0,0,0.6944444445,0,0.36,0,0,237.3,0,0,32.732,0,0,1298.44,459.01,209.5,952.8071942447,647.76,2.78
Región de Ñuble,Ñiquén,8529.1788210072,1249.1406421648,26.908,4132.3978385172,922.56,6.1,200.881,8.3,1.42,129.4,0,0,374.4378,0.9556,1.388,1576.42,3.32,0,10.5,1.2048929664,0,0,0,0,42,0,0,2.2,0,0,1020.47,265.0241491984,13,1040.47218249,47.776,5
Región de Ñuble,San Fabián,220.9296,392.572,0,4.505,89.12,0,3.884,0.5,0,0,0,0,11.4476,0.253,0,57.926,28.698,0,0.1,0,0,0.478,0.01,0,0,0,0,2.262,0,0,23.105,44.886,0,117.222,229.105,0
Región de Ñuble,San Nicolás,4204.441265080499,3123.9230111259,420.894,1426.5877377505,2117.3464082398,71.25,1.561,77.65,62,42,0,287,137.1137,9.652,0.144,1155.218,13.5368,0,92.2,547.4878028861,0.5,0.076,0,0,92,0,0,4.718,0,0,241.08,336.6,0,1011.88682733,21.65,0
Región del Biobío,Total Región,67111.55069999999,35751.7427,613.2799,23722.652,20336.782,138.927,1383.185,2175.333,40.296,4586.742,2601.7,12.51,2322.4243,172.0438,192.9629,8841.806,1082.7619,0.3650000000000001,1322.845,676.847,2.5,38.3689,0.202,0.024,1701.6279,4.752,25.245,121.6866,4.082,0,13790.498,4519.894,198.05,9279.715,4177.345,2.4
Región del Biobío,Concepción,33.6135,10.452,6,0,2,0,7.63,0.5,0,0,0,0,10.9145,0,6,9.575,4.652,0,0.002,1.1,0,0.025,0,0,0,0,0,0.467,0,0,5,2.2,0,0,0,0
Región del Biobío,Florida,367.1312,673.643,0.053,76.35,285.8,0,24.896,10.225,0,0,0,0,60.473,5.274,0.053,142.716,51.891,0,1.03,188.087,0,0.1862,0.006,0,0,0,0,6.73,0,0,46.75,14.15,0,8,118.21,0
Región del Biobío,Penco,25.699,14.063,0.027,0,6.83,0,4.54,2.873,0,0,0,0,18.679,0,0.027,0.48,2.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0
Región del Biobío,San Pedro de La Paz,52.872,0.08,0.04,1.1,0,0,0.91,0,0.04,0,0,0,50.152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46,0.08,0,0.25,0,0,0,0,0
Región del Biobío,Santa Juana,452.816,296.6705,4.5651,33.264,41.896,0,138.747,16.78,0,0,0,0,63.2591,5.8875,1.0651,103.171,64.921,0,1.56,54.885,0,0.0523,0.001,0,0,0,0,0.0326,0,0,107.18,111.3,3.5,5.55,1,0
Región del Biobío,Tomé,68.2853,151.775,0.45,4.55,24.42,0,24.515,27.677,0,0,0,0,10.4223,2.191,0.2,20.846,22.695,0,0,30.692,0.25,1.625,0,0,0.303,0,0,0.014,0,0,1,31.6,0,5.01,12.5,0
Región del Biobío,Chiguayante/Hualqui,147.2493,198.993,2.2343,1.55,53,0,60.206,19.447,1.212,0,0,0,49.6933,2.59,1.0073,12.529,42.981,0.015,0.7,30.125,0,0.371,0,0,0,0,0,1.2,0,0,10,46.85,0,11,4,0
Región del Biobío,Coronel/Lota,67.6214,543.379,39.8141,2.201,29.8,0,8.796,20.81,1,0,0,0,23.9444,1.308,0.0041,2.92,2.461,0.2,0,0,0,0.22,0,0,0,0,0,8.540000000000001,0,0,4,391,38.61,17,98,0
Región del Biobío,Talcahuano/Hualpén,8.2,348,0,0,0,0,0,0,0,0,0,0,6.6,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,1,0,0,0,346,0
Región del Biobío,Lebu,41.117,431.4604,6.09,0,138.775,1,9.7,137.355,4,0,0,0,8.947000000000001,11.2094,0.09,2.47,11.07,0,0,0,0,0,0.001,0,0,0,0,0,0,0,6,59.8,1,14,73.25,0
Región del Biobío,Arauco,191.7868,679.7249999999999,9.014,12.9,77,0,57.436,152.73,4.014,0,0,0,4.8558,2.97,0,4.584,8.625,0,0,0,0,1.409,0,0,0,0,0,0.002,0,0,87.6,262.45,5,23,175.95,0
Región del Biobío,Cañete,243.834,3076.35825,27.52,8.25,1479.7059375,16.1,129.306,865.273,8.9,0,114.0703125,0,27.743,6.281,0.096,7.429,43.887,0,0,0,0,1.687,0.003,0.024,0,0.5,0,0.119,0.2,0,58.75,426.38,2.4,10.55,140.058,0
Región del Biobío,Contulmo,72.686,42.24,3.3,0.1,4,0.5,15.79,6.37,2.8,0,0,0,5.002,0.21,0,13.736,1.91,0,0,0,0,0.568,0,0,0,0,0,0,0,0,0,3,0,37.49,26.75,0
Región del Biobío,Curanilahue,22.0166,59.125,0.344,0,7,0,9.88,9.575,0,0,0,0,5.9786,1,0.344,1.858,6.725,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,10.45,0,0,24.375,0
Región del Biobío,Los Álamos,94.586,766.7999999999998,8.183,12,308.9,2,30.82,373.2,5,0,0,0,4.216,1.8,1.183,17.05,8,0,0,0,0,0,0,0,0,0,0,2,0,0,14,17.6,0,14.5,57.3,0
Región del Biobío,Tirúa,30.1398,687.5609999999999,13.2552,0.55,212.6,11,2.5,221.39,2.25,0,0,0,13.4498,3.2,0.0052,12.84,19.065,0,0,0,0,0.8,0.106,0,0,0,0,0,0,0,0,114.91,0,0,116.29,0
Región del Biobío,Los Ángeles,34845.3067123089,3308.2393435021,308.1420753785,14171.1064097655,1996.2724645217,75.6163589744,642.725,168.385,8.353,3557.9432911195,85.6920583476,12.0376923077,766.2419,83.734,97.744,4022.8901,56.4658,0,11.06,22.37,0,3.7665,0,0,888.1298,2,25.245,84.487,0.302,0,7649.4428022875,628.2750206328,87.0460240964,3047.5139091364,264.743,2.1
Región del Biobío,Antuco,540.6850000000001,147.15,0.002,16.901,30.53,0,3.106,0,0.002,0,0,0,4.516,0,0,35.258,60.32,0,0,0,0,0,0,0,0,0,0,0.104,0,0,476.8,52.8,0,4,3.5,0
Región del Biobío,Cabrero,4727.6018585862,368.22175,3,1701.7812970786,86.1990625,0.3,56.207,6.813,0,257.94,42.9296875,0,180.4044,1.415,0,198.868,15.305,0,135,0.4,0,0.3,0,0,83.66839999999999,0.8,0,0,0,0,716.26,135.68,2.7,1397.1727615076,78.67999999999999,0
Región del Biobío,Laja,1134.387,1221.023,6.2,260.562,264.06,0,1.698,5.172,0,0,0,0,38.702,7.753,0.1,47.533,297.405,0.1,0.86,50.371,0,0.17,0,0,0,0.002,0,0.142,0,0,416,573.16,6,368.72,23.1,0
Región del Biobío,Mulchén,10830.9252966937,7980.661076922501,3.2439487179,3457.6064022411,5198.2530769225,1.8856410256,11.071,8.9,0,272.1538461535,1720,0.1723076923,54.6258,1.555,0.186,1578.8032,44.558,0,679.0601725864,23,0,0.149,0.005,0,450.54,0,0,0.535,3.5,0,1386.0358757127,242.76,1,2940.345,738.13,0
Región del Biobío,Nacimiento,463.1403,404.513,13.099,202.4,240.76,0.5,30.085,2.65,0.25,13.1,0,0,68.7583,3.99,10.299,32.567,76.223,0.05,3.9,35.32,2,0.21,0,0,23,0,0,5.5,0,0,67.3,26.34,0,16.32,19.23,0
Región del Biobío,Negrete,4321.5485351519,447.7894271178,15.386,2309.9253296095,318.4376271178,12.525,20.864,3.2,0.55,113.75,0,0,47.9018,3.6318,1.311,613.1938,8.35,0,356.4998274136,0,0,0.0905,0,0,138,0,0,7.032,0,0,422.2412781288,92.67,1,292.05,21.5,0
Región del Biobío,Quilaco,845.8695217168,1122.6709524576,8.7302,31.2298217168,689.461831438,8,4.853,0.535,0.15,0,89.1079416524,0,7.2998,0.185,0.5802,473.419,22.6362,0,0,0,0,0.51,0,0,54.3889,0,0,0.019,0,0,123.05,179.7449793672,0,151.1,141,0
Región del Biobío,Quilleco,2131.9386740505,4757.999,2,409.5649634695,2981.37,1.5,23.27,0,0.25,348.802862727,287.9,0,538.8487,0.03,0.25,150.3549,24.624,0,0,0.025,0,25,0,0,56.1478,0,0,2,0,0,282.196118498,194.55,0,295.753329356,1269.5,0
Región del Biobío,San Rosendo,10.9724,77.042,0.3,0.18,30.47,0,0.35,3.263,0,0,0,0,2.415,0.029,0,4.013,1.066,0,0,15.114,0,0.0144,0,0,0,0,0,0,0,0,2,20.3,0,2,6.8,0.3
Región del Biobío,Santa Bárbara,2379.656201492,2274.455,76.89397590360001,581.669776119,1749.92,2,11.945,0.2,1,1,110,0,131.5075,0.65,72.4,414.296,8.885,0,0.5,0,0,0.001,0,0,0,0,0,0.4,0,0,816.096925373,144.7,1.4939759036,422.24,260.1,0
Región del Biobío,Tucapel,394.9373,4317.438,3.628,82.5,3619.711,3.5,14.602,3.905,0.01,22,152,0,18.7553,4.48,0.018,165.59,40.282,0,0,0.75,0,0,0,0,0,0,0,0.59,0,0,67,384.26,0.1,23.9,112.05,0
Región del Biobío,Yumbel,2212.1938,1292.59,32.265,339.41,443.09,2.5,27.829,107.995,0.515,0.05200000000000001,0,0.3,76.4328,12.6641,0,746.52,134.8349,0,132.673,224.608,0.25,1.214,0.08,0,7.45,1.45,0,0.513,0,0,716.6,323.039,28.7,163.5,44.829,0
Región del Biobío,Alto Biobío,352.7342,51.625,19.5,5,16.52,0,8.908,0.11,0,0,0,0,21.6852,6.006,0,5.796,0.5640000000000001,0,0,0,0,0,0,0,0,0,0,0.7,0,0,303.645,27.925,19.5,7,0.5,0
Región de La Araucanía,Total Región,51314.87569999991,258828.4088999681,1011.5561,8899.394,153109.8399999694,406.55,6239.1765,6868.8899999994,106.342,2130.7919999999,23419.3379999993,125.51,3599.7199,796.1193,34.3861,10696.3269,5270.9979,1.28,64.613,26.479,2,117.2373,3.8137,0.886,425.5059,713.925,0.325,241.6882,18.916,1.6,5636.143,24861.5160000001,313.57,13264.279,43738.574,19.107
Región de La Araucanía,Temuco,498.6046,5473.8871651922,16.5304,20.56,4043.4445241266,10.12,53.294,249.398,2.45,0,333.9886410656,0,207.6276,49.317,1.1404,165.713,137.881,0,0,0,0,8.225,0.277,0,0.02,0,0,9.365,0.12,0,30.4,531.393,2.82,3.4,128.068,0
Región de La Araucanía,Carahue,605.5486307689999,6955.604622011301,49.65000000000001,75.3,3631.3125234451,19.6,221.669230769,1295.9201704196,21.65,0,638.5779461367,0,207.9054,218.3863,1.2,21.251,108.5363,0,0.5,0,0,1.763,0.2613,0,0.9,0,0,0,0.51,0,52.46,615.4581801366,6.7,23.8,446.6419018733,0.5
Región de La Araucanía,Cunco,1592.7217844356,16319.2079412956,2.1867,0,5135.5155428808,1.6,11.2157206266,14.292,0,43,441.1891891834,0,13.95,10.179,0.0867,769.4045,483.2832,0,2,0,0,0,0,0,0,120,0,5.002,0.09,0,422.3,1672.7704673775,0,325.849563809,8441.8885418539,0.5
Región de La Araucanía,Curarrehue,212.2262,1024.903,0.51,0.025,23.1,0,7.417,14.601,0.01,0.002,0,0,23.9952,1.183,0,15.525,153.669,0,0,0,0,0.012,0,0,0,0,0,1,0,0,60.49,241.465,0.5,103.76,590.885,0
Región de La Araucanía,Freire,10500.3889449004,14629.2134495965,35.7086,1698.04840674,8936.0670483147,19.8,1246.8912484942,145.7634547088,2.475,748.082745707,268.3907861602,0,328.0046,20.1934,0.5836,1166.1363,208.5332,0,0.25,0,0,1.234,0,0,25.5,1,0,23.2783,0.4435,0,1054.0735155772,1174.234301696,11.25,4208.889828382,3874.5877587168,1.6
Región de La Araucanía,Galvarino,1244.833177087,7287.131466529801,36.34,514.13,5676.3672561944,31,36.64,87.0530967742,2.95,350.64,867.9751612904,0,83.9098,13.1321,1.39,190.1576,70.783,0,1.25,0.3,1,0.05500000000000001,0,0,0,55,0,0,0,0,15.482,431.559,0,52.568777087,84.9618522708,0
Región de La Araucanía,Gorbea,1242.3157967413,11374.9703631464,11.435511608,14.2056074768,6047.0567954293,5.935511608,317.353132255,134.5712984582,0,0,324.245901639,0,16.6578,1.77,0,731.0658,1141.9006,0,0,0,0,65.056,0.5,0,0,185.7213,0,27.6597,5.0065,0,15.3177570095,1749.6883106288,5.5,55,1784.5096569911,0
Región de La Araucanía,Lautaro,727.4550940674001,18076.6945670576,8.4955,14.4624285714,12239.7104864857,3.9,167.035465496,102.216,0.504,5.018,2089.543663935,0,49.5573,11.994,1.9315,203.6539,126.5465,0,1.25,0.029,0,4.319,0,0,22.525,0.225,0,2.624,1,0,145,1659.2336263143,2.16,112.01,1846.1962903226,0
Región de La Araucanía,Loncoche,1047.7904,7317.2294495531,27.1076,78.05,1852.6827149966,18.86,13.305,103.4526315343,2.1,0,1.0327868852,0,49.0664,17.5692,3.0506,703.832,377.0554,0.1,0,0,0,0.317,0,0,0,16.2295,0,8.85,0,0,75.57,1245.7177820411,1.75,118.8,3703.4894340959,1.247
Región de La Araucanía,Melipeuco,543.7935,1720.5935000121,4.94,1,98.4375,0,1.779,9.144,0.14,0,0,0,14.1415,0.836,0.05,31.171,39.306,0,0,0,0,0,0,0,0,0,0,0.002,0,0,31.2,347.35,4.75,464.5,1225.5200000121,0
Región de La Araucanía,Nueva Imperial,747.1153671054001,7743.2742210906,55.6560591074,24.25,4863.2430821931,38.7190591074,170.4177671054,534.6608333334,7.536,51,1345.232916903,3.5,178.8292,90.076,1.501,74.4544,122.0228,0,1.2,0,0,1.206,0.35,0,0.251,1.85,0,15.807,0,1,7.2,467.3085886611,3.4,222.5,318.53,0
Región de La Araucanía,Padre Las Casas,1011.3995265488,6225.5908212367,108.7544408926,6.22,3891.1968669465,87.4809408926,59.7622566372,292.634,6.76,0.12,510.104555783,0.2,458.0961,109.0221,3.1985,350.8205,208.239,0,0.7,0,0,6.119,0.66,0.025,17.4999,3.25,0,2.445,0.3,0,25.6767699116,757.4463228435,6.79,83.94,452.7379756637,4.3
Región de La Araucanía,Perquenco,2011.4736237909,16756.1949547277,112.8028,368,12604.1631498718,67.8,89.9676237897,383.6405596861,0,0,3329.1036451698,45,182.8751,0.7796000000000001,0.0028,510.2957,124.308,0,0,0,0,0.0052,0,0,0,0,0,23.6,0,0,16.6941176472,135.5,0,820.035882354,178.7,0
Región de La Araucanía,Pitrufquén,1816.1329142793,8654.745877096899,30.565188392,201.5018575781,3389.0888634228,15.064488392,124.0477195968,57.2261395103,0.015,0,112.8129566219,0,74.1567,24.5354,1.9257,146.0772,644.0612,0,0.5,0,0,0.591,0,0.36,0,61.3492,0,4.91,2.246,0,259.7437116494,1778.2219022592,12,1004.604725455,2585.2042152827,1.2
Región de La Araucanía,Pucón,788.7031999999999,1715.033,3.506,0,7.5,0,3.002,10.285,0.01,0,0,0,27.8472,2.45,0.226,22.648,91.669,1.17,0,0,0,0.05,0,0,1.01,1,0,2.366,5,0,72.5,572.3100000000001,2.1,659.28,1024.819,0
