0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
"","",categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo,categorías_de_uso_del_suelo
total_nacional_región,"comuna_6,_7,_8",total,total,cereales,cereales,leguminosas_y_tubérculos,leguminosas_y_tubérculos,cultivos_industriales,cultivos_industriales,"hortalizas,_hongos,_aromáticas,","hortalizas,_hongos,_aromáticas,",frutales,frutales,vides_para_vinificación_y_uvas_p,vides_para_vinificación_y_uvas_p,flores_de_corte,flores_de_corte,semilleros,semilleros,viveros_y_césped_alfombra,viveros_y_césped_alfombra,forrajeras,forrajeras,plantaciones_forestales,plantaciones_forestales,bosque_nativo,bosque_nativo,praderas_mejoradas,praderas_mejoradas,praderas_naturales,praderas_naturales,terrenos_productivos_no_trabajad,terrenos_productivos_no_trabajad,matorrales,matorrales,terrenos_no_productivos,terrenos_no_productivos,infraestructura,infraestructura
total_nacional_región,"comuna_6,_7,_8",número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha),número_de_upa,superficie_(ha)
región_de_atacama,alto_del_carmen,469.0,184018.4329999983,18.0,27.07,17.0,6.31,0.0,0.0,64.0,39.945,414.0,899.193,120.0,177.63,1.0,0.5,0.0,0.0,1.0,0.1,82.0,87.092,27.0,9.37,38.0,40.795,5.0,8.01,58.0,85.7,223.0,1801.054999998272,76.0,22181.875,100.0,158542.365,251.0,111.423
región_de_atacama,freirina,131.0,2796.446,1.0,7.0,0.0,0.0,0.0,0.0,13.0,47.56,75.0,191.07,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.2,29.0,335.95,5.0,10.8,0.0,0.0,0.0,0.0,3.0,470.7,49.0,272.74,11.0,329.64,46.0,1070.551,113.0,55.235
región_de_atacama,huasco,180.0,53322.65400000011,1.0,2.0,3.0,0.95,1.0,4.0,47.0,21.821,174.0,705.6798853047,2.0,0.75,3.0,0.102,0.0,0.0,4.0,0.68,27.0,28.41,16.0,13.55,1.0,0.2,0.0,0.0,1.0,34446.6,87.0,302.89994265235,4.0,15533.47,56.0,2209.797,163.0,51.744172043063
región_de_coquimbo,total_región,6929.0,1895692.284,215.0,386.836,460.0,1303.888,7.0,6.43,1582.0,6010.88,3880.0,26318.87,882.0,6928.298,78.0,52.459,14.0,78.114,68.0,70.367,1422.0,2504.49,355.0,33545.013,492.0,34528.77,115.0,679.795,1054.0,261368.633,4048.0,36483.408,655.0,803388.306,1628.0,674299.069,5183.0,7738.658
región_de_coquimbo,la_serena,485.0,154447.4500000023,1.0,1.0,67.0,694.017923513,0.0,0.0,157.0,1387.3224231492,175.0,783.1635847026,3.0,44.0,15.0,8.812,0.0,0.0,16.0,16.799,73.0,191.265,37.0,395.98,3.0,350.25,8.0,21.25,22.0,10096.987,352.0,2399.418,25.0,127328.34,128.0,10228.758,411.0,500.087068637451
región_de_coquimbo,coquimbo,419.0,72681.50599999775,14.0,20.089,58.0,378.592076487,2.0,2.18,171.0,2607.2075768508,180.0,1929.1954152974,0.0,0.0,15.0,11.83,1.0,4.0,23.0,11.318,52.0,81.96,18.0,21825.59,11.0,2221.82,7.0,354.36,21.0,12540.336,239.0,2438.212,39.0,14937.88,54.0,12330.85,389.0,986.085931362549
región_de_coquimbo,andacollo,126.0,780.51,2.0,0.12,0.0,0.0,1.0,0.5,9.0,3.94,85.0,62.09,0.0,0.0,3.0,0.3,0.0,0.0,1.0,0.02,9.0,6.95,3.0,1.6,3.0,0.64,18.0,12.45,2.0,5.75,116.0,452.553,12.0,99.27999999999999,54.0,95.96000000000001,120.0,38.357
región_de_coquimbo,la_higuera,104.0,94750.08999999995,0.0,0.0,3.0,17.15,0.0,0.0,9.0,4.09409090909,77.0,129.12318181815,3.0,49.0,2.0,0.23,0.0,0.0,3.0,10.1,5.0,1.95,2.0,33.0,2.0,61.0,0.0,0.0,3.0,49.7,59.0,271.28727272726,5.0,40555.82,57.0,53530.61,42.0,37.02545454545
región_de_coquimbo,paiguano,143.0,144241.038,0.0,0.0,2.0,0.02,0.0,0.0,7.0,0.632,95.0,827.2090000000001,80.0,335.628,0.0,0.0,0.0,0.0,1.0,0.01,20.0,30.9,3.0,0.573,18.0,693.252,1.0,1.0,19.0,19434.784,82.0,646.4449999999999,8.0,51805.863,39.0,70301.899,138.0,162.823
región_de_coquimbo,vicuña,212.0,394719.627,0.0,0.0,5.0,26.15,0.0,0.0,30.0,34.015,127.0,2727.241,53.0,748.125,3.0,0.321,0.0,0.0,1.0,0.3,30.0,77.975,5.0,6.7,7.0,132.076,1.0,4.0,14.0,10481.72,107.0,2674.202,25.0,106559.11,74.0,270853.81,178.0,393.882
