0,1,2,3,4,5,6,7,8,9,10
total_nacional_región,"comuna6,_7",especie,total,total,total,total,total,total,total,total
total_nacional_región,"comuna6,_7",especie,"número_de_upa8,9",superficie_(ha),superficie_(ha),superficie_(ha),superficie_(ha),estado_desarrollo_(ha),estado_desarrollo_(ha),estado_desarrollo_(ha)
total_nacional_región,"comuna6,_7",especie,"número_de_upa8,9",superficie_(ha),en_riego,en_secano,sin_clasificar_10,en_formación_11,en_producción_12,sin_clasificar_10
región_de_arica_y_parinacota,camarones,castaño,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,cerezo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,chirimoyo,2.0,0.031,0.031,0.0,0.0,0.0,0.031,0.0
región_de_arica_y_parinacota,camarones,ciruelo_europeo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,ciruelo_japonés,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,clementina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,damasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,duraznero_(consumo_fresco),2.0,0.519,0.519,0.0,0.0,0.0,0.519,0.0
región_de_arica_y_parinacota,camarones,duraznero_(tipo_conservero),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,granado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,higuera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,kiwi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,lima_(o_limón_sutil),2.0,0.15,0.15,0.0,0.0,0.0,0.15,0.0
región_de_arica_y_parinacota,camarones,limón_de_pica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,limonero,9.0,2.281,2.281,0.0,0.0,0.0,2.281,0.0
región_de_arica_y_parinacota,camarones,mandarina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,camarones,mango,7.0,2.687,2.687,0.0,0.0,0.0,2.687,0.0
región_de_arica_y_parinacota,camarones,manzana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
